#Accession	Sequence ID	Release Date
MW751408	C23733	immediate
MW751409	C24113	immediate
MW751410	C24157	immediate
MW751411	C25634	immediate
MW751412	C34459	immediate
MW751413	C37981	immediate
MW751414	C39298	immediate
MW751415	C28177	immediate
MW751416	C32299	immediate
MW751417	C32383	immediate
MW751418	C37999	immediate
MW751419	C38357	immediate
MW751420	C38852	immediate
MW751421	C39418	immediate
MW751422	C39419	immediate
MW931663	C310	immediate
MW931664	C572	immediate
MW931665	C639	immediate
MW931666	C1057	immediate
MW931667	C13554	immediate
MW931668	C25662	immediate
MW931669	C28978	immediate
MW931670	C32519	immediate
MW931671	C247	immediate
MW931672	C570	immediate
MW931673	C680	immediate
MW931674	C688	immediate
MW931675	C800	immediate
MW931676	C853	immediate
MW931677	C1274	immediate
MW931678	C1434	immediate
MW931679	C1625	immediate
MW931680	C1722	immediate
MW931681	C2579	immediate
MW931682	C2883	immediate
MW931683	C3143	immediate
MW931684	C3732	immediate
MW931685	C6162	immediate
MW931686	C6379	immediate
MW931687	C6495	immediate
MW931688	C6524	immediate
MW931689	C6704	immediate
MW931690	C6709	immediate
MW931691	C6879	immediate
MW931692	C6962	immediate
MW931693	C7039	immediate
MW931694	C7268	immediate
MW931695	C7276	immediate
MW931696	C7295	immediate
MW931697	C7296	immediate
MW931698	C7314	immediate
MW931699	C7954	immediate
MW931700	C13939	immediate
MW931701	C14168	immediate
MW931702	C15180	immediate
MW931703	C15555	immediate
MW931704	C17447	immediate
MW931705	C18284	immediate
MW931706	C19001	immediate
MW931707	C21394	immediate
MW931708	C21948	immediate
MW931709	C25616	immediate
MW931710	C30069	immediate
MW931711	C31273	immediate
MW931712	C31522	immediate
MW931713	C31638	immediate
MW931714	C31644	immediate
