strain,division,location
C353,Mombasa,Nyali
C4616,Mombasa,Nyali
C4864,Mombasa,Nyali
C587,Mombasa,Nyali
C589,Mombasa,Nyali
C1274,Mombasa,Shimanzi
C1298,Mombasa,NA
C1646,Mombasa,NA
C17447,Mombasa,NA
C247,Mombasa,NA
C2582,Mombasa,NA
C2800,Mombasa,NA
C2884,Mombasa,NA
C30197,Mombasa,NA
C3089,Mombasa,NA
C4084,Mombasa,NA
C4195,Mombasa,NA
C4199,Mombasa,NA
C4497,Mombasa,NA
C4497,Mombasa,NA
C4626,Mombasa,NA
C4649,Mombasa,NA
C5019,Mombasa,NA
C5545,Mombasa,NA
C569,Mombasa,NA
C6369,Mombasa,NA
C6370,Mombasa,NA
C6377,Mombasa,NA
C6379,Mombasa,NA
C6380,Mombasa,NA
C6384,Mombasa,NA
C6561,Mombasa,NA
C6707,Mombasa,NA
C6770,Mombasa,NA
C6860,Mombasa,NA
C721,Mombasa,NA
C7382,Mombasa,NA
C8240,Mombasa,NA
C13209,Taita Taveta,Taveta
C14168,Taita Taveta,Taveta
C15180,Taita Taveta,Taveta
C15470,Taita Taveta,Taveta
C17517,Taita Taveta,Taveta
C18021,Taita Taveta,Taveta
C19774,Taita Taveta,Taveta
C20407,Taita Taveta,Taveta
C21948,Taita Taveta,Taveta
C23121,Taita Taveta,Taveta
C25662,Taita Taveta,Taveta
C31141,Taita Taveta,Taveta
C6868,Taita Taveta,Taveta
C6875,Taita Taveta,Taveta
C6876,Taita Taveta,Taveta
C6878,Taita Taveta,Taveta
C6879,Taita Taveta,Taveta
C6882,Taita Taveta,Taveta
C6885,Taita Taveta,Taveta
C6890,Taita Taveta,Taveta
C6914,Taita Taveta,Taveta
C6934,Taita Taveta,Taveta
C6953,Taita Taveta,Taveta
C6958,Taita Taveta,Taveta
C6962,Taita Taveta,Taveta
C6964,Taita Taveta,Taveta
C7547,Taita Taveta,Taveta
C7740,Taita Taveta,Taveta
C7741,Taita Taveta,Taveta
C8369,Taita Taveta,Taveta
C17085,Taita Taveta,Voi
C32519,Taita Taveta,Voi
C39418,Taita Taveta,Voi
C39419,Taita Taveta,Voi
C7409,Taita Taveta,Voi
C7417,Taita Taveta,Voi
C32958,Tana River,Galole
C37999,Tana River,Galole
C38000,Tana River,Galole
C32968,Tana River,NA
