tip	date	distance	residual
C4714	2020.344262295082	1.6373125741828425E-4	-7.381019648191873E-5
C5335	2020.3497267759562	1.9504125741828422E-4	-4.615759518914291E-5
C1191	2020.2978142076502	1.9744125741828422E-4	-9.012307469070225E-6
C5177	2020.3469945355191	1.9417125741828423E-4	-4.51988958354198E-5
C3205	2020.3224043715848	1.6073125741828426E-4	-6.2180601652356E-5
C942	2020.292349726776	1.6073125741828426E-4	-4.2064908761624E-5
C17244	2020.4426229508197	2.3085125741828421E-4	-7.252337321461794E-5
C2439	2020.311475409836	2.286112574182842E-4	1.301419576253633E-5
C5914	2020.3551912568305	2.2961125741828423E-4	-1.5244993896589086E-5
C5915	2020.3551912568305	2.2961125741828423E-4	-1.5244993896589086E-5
C5911	2020.3551912568305	1.9517125741828423E-4	-4.968499389658909E-5
C2847	2020.3196721311476	1.6273125741828425E-4	-5.8351902298632916E-5
C7584	2020.3661202185792	2.0054125741828422E-4	-5.162979131125944E-5
C7604	2020.3661202185792	2.0054125741828422E-4	-5.162979131125944E-5
C8311	2020.3688524590164	1.6373125741828425E-4	-9.02684906649825E-5
C1058	2020.295081967213	1.6173125741828425E-4	-4.28936081153471E-5
C1292	2020.3005464480875	1.9417125741828423E-4	-1.4111006822793308E-5
C5811	2020.3524590163934	1.9317125741828424E-4	-4.985629454286599E-5
C17469	2020.448087431694	2.642912574182843E-4	-4.2740771921842026E-5
C22256	2020.4726775956285	2.642912574182843E-4	-5.919906610512784E-5
C2562	2020.3142076502731	1.9609125741828422E-4	-2.133450359118676E-5
C5334	2020.3497267759562	1.6073125741828426E-4	-8.046759518914287E-5
C2878	2020.3196721311476	2.276112574182842E-4	6.528097701367046E-6
C3427	2020.3251366120219	2.276112574182842E-4	2.8706989939208548E-6
C1092	2020.295081967213	1.9417125741828423E-4	-1.0453608115347117E-5
C14421	2020.4234972677596	2.664612574182843E-4	-2.411247773877824E-5
C16181	2020.4371584699454	3.039312574182843E-4	4.214025492828332E-6
C4074	2020.3387978142077	1.6273125741828425E-4	-7.115279777447254E-5
C5355	2020.3497267759562	1.6273125741828425E-4	-7.846759518914288E-5
C5455	2020.3497267759562	1.9712125741828422E-4	-4.4077595189142904E-5
C2076	2020.308743169399	1.9698125741828422E-4	-1.6787104883962613E-5
C7409	2020.3661202185792	1.979312574182842E-4	-5.4239791311259445E-5
C7382	2020.363387978142	1.979312574182842E-4	-5.241109195753635E-5
C8369	2020.3715846994535	2.3042125741828422E-4	-2.5407190018705627E-5
C223	2020.2568306010928	1.9554125741828423E-4	1.6518182836332127E-5
C13825	2020.4207650273224	2.6210125741828427E-4	-2.6643778385055164E-5
C17655	2020.4453551912568	2.2931125741828423E-4	-7.589207256811898E-5
C18303	2020.4535519125684	2.9843125741828427E-4	-1.2258170629288222E-5
C14866	2020.4262295081967	1.9352125741828422E-4	-9.888117709250141E-5
C19774	2020.4617486338798	2.2985125741828422E-4	-8.632426869045756E-5
C20682	2020.4617486338798	2.2985125741828422E-4	-8.632426869045756E-5
C13209	2020.4153005464482	4.5475125741828453E-4	1.6966362032216925E-4
C4195	2020.344262295082	1.6073125741828426E-4	-7.681019648191873E-5
C2239	2020.308743169399	2.3400125741828424E-4	2.023289511603741E-5
C14302	2020.4234972677596	2.7050125741828426E-4	-2.0072477738778273E-5
C3194	2020.3224043715848	2.2980125741828422E-4	6.889398347643955E-6
C5545	2020.3551912568305	1.5973125741828426E-4	-8.512499389658906E-5
C3445	2020.3251366120219	1.6073125741828426E-4	-6.40093010060791E-5
C6518	2020.360655737705	2.660512574182843E-4	1.7537607395964774E-5
C8288	2020.3661202185792	1.6173125741828425E-4	-9.04397913112594E-5
